repository_url,commit_sha,draw_rank,reviewer,eligibility_verdict,verdict,field,initial_value,proposed_value,evidence,reason
https://github.com/Vansh-187/speech-emotion-recognition,f21f3700413ea8e5c39921fb102c10672cae69a8,1,p0_6_alt_search,agree,disagree,augmentation_by_dataset,RAVDESS=noise and stretch-plus-pitch are appended only when the base sample is in x_train,RAVDESS=stored reported-result state indicates original plus noise plus stretch-and-pitch variants were pooled before the 80/20 split; currently saved cells 16-19 instead define train-only augmentation but are not consumed by cells 25-30,"https://github.com/Vansh-187/speech-emotion-recognition/blob/f21f3700413ea8e5c39921fb102c10672cae69a8/notebooks/emotion_classifier_final.ipynb#L1 (cells 15-19, 25, 27, 30)",The implementation text and stored outputs are from incompatible execution states; the output dimensions identify the reported-result state as augment-before-split.
https://github.com/Vansh-187/speech-emotion-recognition,f21f3700413ea8e5c39921fb102c10672cae69a8,1,p0_6_alt_search,agree,disagree,augmentation_evidence,notebooks/emotion_classifier_final.ipynb:L1 cells 16-18 split base features first and append augmentations only for matched training rows,"notebooks/emotion_classifier_final.ipynb:L1 cells 15-19,25,27,30: n_base=2452; two variants are defined per item; model cells ignore *_final; stored batches and support n=1472 match a 3 x 2452 pool split 80/20","https://github.com/Vansh-187/speech-emotion-recognition/blob/f21f3700413ea8e5c39921fb102c10672cae69a8/notebooks/emotion_classifier_final.ipynb#L1 (cells 15-19, 25, 27, 30)",The earlier evidence described only the newly saved cells and omitted the contradictory active model variables and stored execution dimensions.
https://github.com/Vansh-187/speech-emotion-recognition,f21f3700413ea8e5c39921fb102c10672cae69a8,1,p0_6_alt_search,agree,disagree,augmentation_leakage,no_train_only,yes,https://github.com/Vansh-187/speech-emotion-recognition/blob/f21f3700413ea8e5c39921fb102c10672cae69a8/notebooks/emotion_classifier_final.ipynb#L1 (cell 15 output n=2452; cells 17-18 define two variants per base item; cell 27 output has 184 train and 46 test batches; cell 30 support n=1472),"The stored test support is exactly 20% of 3 x 2452 samples, and the stored loader batch counts match a split of that tripled pool. This is strong static evidence that the reported-result state split originals plus two augmented variants together, even though the later-saved cells now show a different, broken train-only path."
https://github.com/Vansh-187/speech-emotion-recognition,f21f3700413ea8e5c39921fb102c10672cae69a8,1,p0_6_alt_search,agree,disagree,evidence_strength,high,medium,https://github.com/Vansh-187/speech-emotion-recognition/blob/f21f3700413ea8e5c39921fb102c10672cae69a8/notebooks/emotion_classifier_final.ipynb#L1 (execution counts 12-16 versus 157-162; cells 25-30),"The main numeric result is preserved in outputs, but mapping it to the frozen source requires inference across a stale/inconsistent notebook execution state."
https://github.com/Vansh-187/speech-emotion-recognition,f21f3700413ea8e5c39921fb102c10672cae69a8,1,p0_6_alt_search,agree,disagree,notes,P0.5 draw_rank=1; test-selected checkpoint makes the displayed metric optimistically selected on the same holdout. || draw_rank=1; initial_batch=p0_5_audit_root.csv,"P0.5 draw_rank=1; test-selected checkpoint makes the displayed metric optimistically selected on the same holdout. In addition, frozen cells 16-19 and 25-30 are not one executable dataflow; stored n=1472 output indicates an older augment-before-split state. || draw_rank=1; initial_batch=p0_5_audit_root.csv","https://github.com/Vansh-187/speech-emotion-recognition/blob/f21f3700413ea8e5c39921fb102c10672cae69a8/notebooks/emotion_classifier_final.ipynb#L1 (cells 16-19, 25-30)",The notebook-state conflict materially limits reproducibility and should be retained in the audit notes. Consolidation preserves the deterministic assembly-provenance suffix.
https://github.com/Vansh-187/speech-emotion-recognition,f21f3700413ea8e5c39921fb102c10672cae69a8,1,p0_6_alt_search,agree,disagree,reported_results,RAVDESS 8-class holdout accuracy=82.61%; F1=82.00%,stored output (n=1472): accuracy=82.61%; macro precision/recall/F1=82%/82%/82%; weighted precision/recall/F1=83%/83%/83%,https://github.com/Vansh-187/speech-emotion-recognition/blob/f21f3700413ea8e5c39921fb102c10672cae69a8/notebooks/emotion_classifier_final.ipynb#L1 (cell 30 output),The original value leaves the F1 averaging convention ambiguous and omits the simultaneously reported precision/recall and weighted metrics.
https://github.com/Vansh-187/speech-emotion-recognition,f21f3700413ea8e5c39921fb102c10672cae69a8,1,p0_6_alt_search,agree,disagree,result_code_link,direct,uncertain,"https://github.com/Vansh-187/speech-emotion-recognition/blob/f21f3700413ea8e5c39921fb102c10672cae69a8/notebooks/emotion_classifier_final.ipynb#L1 (cells 15-19, 25, 27, 30)","Cells 16-19 create *_final train-only-augmentation variables, but cells 25-30 ignore them; cell 25 applies argmax(axis=1) to the one-dimensional string y_train created by cell 16. The saved cells therefore cannot regenerate the stored result state."
https://github.com/fdhlhdc12/ravdess-dtw-emotion-recognition,c20123028d7e718e624eb56599ae7436ca9991e4,2,p0_6_alt_search,agree,disagree,augmentation_by_dataset,RAVDESS=auditable inference feature path has no augmentation,RAVDESS=training/evaluation augmentation provenance is absent; frozen code covers inference feature extraction only,https://github.com/fdhlhdc12/ravdess-dtw-emotion-recognition/blob/c20123028d7e718e624eb56599ae7436ca9991e4/app.py#L735-L752 | https://github.com/fdhlhdc12/ravdess-dtw-emotion-recognition/blob/c20123028d7e718e624eb56599ae7436ca9991e4/feature_extraction_ml.py#L4-L45,Absence of augmentation in inference cannot establish absence during model training or benchmark-set construction.
https://github.com/fdhlhdc12/ravdess-dtw-emotion-recognition,c20123028d7e718e624eb56599ae7436ca9991e4,2,p0_6_alt_search,agree,disagree,augmentation_evidence,feature_extraction_ml.py:L4-L45 extracts MFCC/delta summaries only; app.py:L770-L784 calls that path,"app.py:L735-L752,L779-L784 and feature_extraction_ml.py:L4-L45 expose inference only; no training/evaluation loader or augmentation provenance is present",https://github.com/fdhlhdc12/ravdess-dtw-emotion-recognition/blob/c20123028d7e718e624eb56599ae7436ca9991e4/app.py#L735-L752 | https://github.com/fdhlhdc12/ravdess-dtw-emotion-recognition/blob/c20123028d7e718e624eb56599ae7436ca9991e4/app.py#L779-L784,The evidence must explicitly record the missing training side of the result path.
https://github.com/fdhlhdc12/ravdess-dtw-emotion-recognition,c20123028d7e718e624eb56599ae7436ca9991e4,2,p0_6_alt_search,agree,disagree,augmentation_leakage,not_applicable,unknown,https://github.com/fdhlhdc12/ravdess-dtw-emotion-recognition/blob/c20123028d7e718e624eb56599ae7436ca9991e4/app.py#L735-L752 | https://github.com/fdhlhdc12/ravdess-dtw-emotion-recognition/blob/c20123028d7e718e624eb56599ae7436ca9991e4/feature_extraction_ml.py#L4-L45,"The frozen code closes only an inference feature path. Because the training/evaluation input construction is absent, not_applicable cannot be established for the dashboard result."
https://github.com/fdhlhdc12/ravdess-dtw-emotion-recognition,c20123028d7e718e624eb56599ae7436ca9991e4,2,p0_6_alt_search,agree,disagree,evaluation_repetition,kfold_single_run,unknown,https://github.com/fdhlhdc12/ravdess-dtw-emotion-recognition/blob/c20123028d7e718e624eb56599ae7436ca9991e4/app.py#L1983-L2010,"A static dashboard sentence claims 5-fold GridSearchCV, but no fold construction, executed fold outputs, or training code is frozen. Under the code-first rule this implementation field remains unknown."
https://github.com/fdhlhdc12/ravdess-dtw-emotion-recognition,c20123028d7e718e624eb56599ae7436ca9991e4,2,p0_6_alt_search,agree,disagree,n_folds,5,unknown,https://github.com/fdhlhdc12/ravdess-dtw-emotion-recognition/blob/c20123028d7e718e624eb56599ae7436ca9991e4/app.py#L2005-L2010,"No auditable fold loop, split object, or fold-level output verifies the displayed claim."
https://github.com/fdhlhdc12/ravdess-dtw-emotion-recognition,c20123028d7e718e624eb56599ae7436ca9991e4,2,p0_6_alt_search,agree,disagree,repetition_by_dataset,RAVDESS=dashboard states one 5-fold GridSearchCV; seed schedule unavailable,"RAVDESS=dashboard claims 5-fold GridSearchCV, but the frozen implementation and fold outputs are absent",https://github.com/fdhlhdc12/ravdess-dtw-emotion-recognition/blob/c20123028d7e718e624eb56599ae7436ca9991e4/app.py#L1983-L2010,The claim can be retained as a document claim but cannot be encoded as observed implementation.
https://github.com/fdhlhdc12/ravdess-dtw-emotion-recognition,c20123028d7e718e624eb56599ae7436ca9991e4,2,p0_6_alt_search,agree,disagree,repetition_evidence,app.py:L2005-L2010 states 5-fold GridSearchCV; no fold outputs or repeated seeds are supplied,"app.py:L2005-L2010 is a static 5-fold GridSearchCV claim; the repository contains no training/fold-construction path or executed fold outputs, so repetition is unknown",https://github.com/fdhlhdc12/ravdess-dtw-emotion-recognition/blob/c20123028d7e718e624eb56599ae7436ca9991e4/app.py#L2005-L2010,The evidence text should lead to the dictionary-compliant unknown value rather than an implemented k-fold value.
https://github.com/leecool9669/emotion-recognition-wav2vec2-IEMOCAP-WebUI,c9c809cd2a863765f52d86d8a254fe38a5c9a610,3,p0_6_alt_search,agree,agree,,,,https://github.com/leecool9669/emotion-recognition-wav2vec2-IEMOCAP-WebUI/blob/c9c809cd2a863765f52d86d8a254fe38a5c9a610/app.py#L2-L24 | https://github.com/leecool9669/emotion-recognition-wav2vec2-IEMOCAP-WebUI/blob/c9c809cd2a863765f52d86d8a254fe38a5c9a610/README.md#L60-L101,"Eligibility exclusion agrees: E2_target_not_evaluated. The repository is explicitly demo-only, loads no real weights, and performs no IEMOCAP evaluation; E2 precedes E3 because relevant UI/source code exists."
https://github.com/Shiva9855/CodeAlpha_Emotion-Recognition-from-Speech,cbc84f527fc14b375d34ce2c8aec9b00cabaf459,4,p0_6_alt_search,agree,agree,,,,https://github.com/Shiva9855/CodeAlpha_Emotion-Recognition-from-Speech/blob/cbc84f527fc14b375d34ce2c8aec9b00cabaf459/train.py#L47-L74 | https://github.com/Shiva9855/CodeAlpha_Emotion-Recognition-from-Speech/blob/cbc84f527fc14b375d34ce2c8aec9b00cabaf459/train.py#L145-L196,"Eligibility and all 38 survey fields agree after re-reading the merged target-dataset loader, augment-before-split path, train-only scaler fit, per-epoch sole-holdout selection, and single-run code."
https://github.com/dingdongwang/EmotionThinker,afcc5c578bc69df436fbb2317957fe4897e33342,5,p0_6_alt_search,agree,disagree,reported_results,paper Table 2 reports IEMOCAP accuracy=77.68% and RAVDESS accuracy=71.56%,paper section 4.1/Table 2: IEMOCAP test-set accuracy=77.68%; RAVDESS zero-shot accuracy=71.56%,"https://arxiv.org/pdf/2601.15668 (section 4.1, Table 2) | https://github.com/dingdongwang/EmotionThinker/blob/afcc5c578bc69df436fbb2317957fe4897e33342/README.md#L5-L8",The paper explicitly describes RAVDESS as a zero-shot evaluation; omitting that qualifier obscures the evaluation protocol.
