speaker,draw,path,sentence,acted_label,voice_vote_row_id,voice_plurality,tie,num_responses,fractional_plurality_match,intended_label_vote_share,voice_agreement
1001,0,1001_DFA_ANG_XX.wav,DFA,A,100062,A,False,9,1.0,0.6666666666666666,0.6666666666666666
1001,0,1001_DFA_DIS_XX.wav,DFA,D,100064,D,False,9,1.0,0.4444444444444444,0.4444444444444444
1001,0,1001_DFA_FEA_XX.wav,DFA,F,100063,F,False,9,1.0,0.5555555555555556,0.5555555555555556
1001,0,1001_DFA_HAP_XX.wav,DFA,H,100060,N,False,8,0,0.0,0.5
1001,0,1001_DFA_NEU_XX.wav,DFA,N,100059,N,False,9,1.0,0.5555555555555556,0.5555555555555556
1001,0,1001_DFA_SAD_XX.wav,DFA,S,100061,N,False,9,0,0.1111111111111111,0.5555555555555556
1001,0,1001_IEO_ANG_MD.wav,IEO,A,100009,A:D,True,12,0.5,0.4166666666666667,0.4166666666666667
1001,0,1001_IEO_DIS_MD.wav,IEO,D,100015,N,False,11,0,0.09090909090909091,0.7272727272727273
1001,0,1001_IEO_FEA_MD.wav,IEO,F,100012,F,False,11,1.0,0.45454545454545453,0.45454545454545453
1001,0,1001_IEO_HAP_MD.wav,IEO,H,100003,N,False,11,0,0.36363636363636365,0.6363636363636364
1001,0,1001_IEO_NEU_XX.wav,IEO,N,100001,N,False,11,1.0,0.9090909090909091,0.9090909090909091
1001,0,1001_IEO_SAD_MD.wav,IEO,S,100006,N,False,10,0,0.0,0.8
1001,0,1001_IOM_ANG_XX.wav,IOM,A,100026,N,False,10,0,0.1,0.7
1001,0,1001_IOM_DIS_XX.wav,IOM,D,100028,N,False,10,0,0.1,0.6
1001,0,1001_IOM_FEA_XX.wav,IOM,F,100027,A,False,11,0,0.0,0.45454545454545453
1001,0,1001_IOM_HAP_XX.wav,IOM,H,100024,N,False,11,0,0.36363636363636365,0.5454545454545454
1001,0,1001_IOM_NEU_XX.wav,IOM,N,100023,N,False,11,1.0,0.5454545454545454,0.5454545454545454
1001,0,1001_IOM_SAD_XX.wav,IOM,S,100025,N,False,11,0,0.0,0.7272727272727273
1001,0,1001_ITH_ANG_XX.wav,ITH,A,100056,A:D:N,True,10,0.3333333333333333,0.3,0.3
1001,0,1001_ITH_DIS_XX.wav,ITH,D,100058,N,False,11,0,0.18181818181818182,0.45454545454545453
1001,0,1001_ITH_FEA_XX.wav,ITH,F,100057,F,False,9,1.0,1.0,1.0
1001,0,1001_ITH_HAP_XX.wav,ITH,H,100054,F:N,True,8,0,0.125,0.375
1001,0,1001_ITH_NEU_XX.wav,ITH,N,100053,N,False,10,1.0,0.8,0.8
1001,0,1001_ITH_SAD_XX.wav,ITH,S,100055,N,False,10,0,0.1,0.5
1001,0,1001_ITS_ANG_XX.wav,ITS,A,100068,D,False,10,0,0.1,0.6
1001,0,1001_ITS_DIS_XX.wav,ITS,D,100070,N,False,9,0,0.3333333333333333,0.5555555555555556
1001,0,1001_ITS_FEA_XX.wav,ITS,F,100069,F:H,True,9,0.5,0.3333333333333333,0.3333333333333333
1001,0,1001_ITS_HAP_XX.wav,ITS,H,100066,H,False,10,1.0,0.6,0.6
1001,0,1001_ITS_NEU_XX.wav,ITS,N,100065,N,False,9,1.0,1.0,1.0
